prozent	percent
norden	north
philosoph@@ ie	philosoph@@ y
schwe@@ den	swe@@ den
pfer@@ d	horse
wettbewerb	competition
kü@@ che	kitchen
bes@@ essen	obs@@ essed
sammeln	collect
erwachsenen	adults
situationen	situations
autis@@ mus	autis@@ m
existieren	exist
ökon@@ omen	econom@@ ists
has@@ sen	hate
präsentation	pres@@ entation
tragen	wear
geburt@@ stag	birthday
bedro@@ hung	threat
persönlich	personally
mäch@@ tig	powerful
lächeln	s@@ mile
chem@@ ische	chemical
schlafen	sleep
akzeptieren	accept
existiert	exists
gelöst	solved
zeichnen	draw
kämpfen	fight
glob@@ alisierung	glob@@ alization
forscher	researchers
biolog@@ ische	biological
reduzieren	reduce
diskussion	discussion
platt@@ form	platform
janu@@ ar	janu@@ ary
zeitung	newspaper
nachhal@@ tige	sustainable
phy@@ sischen	physical
archite@@ kt	architect
zählen	count
nachbar@@ schaft	neighborhood
ausdruck	expression
bei@@ bringen	teach
glück@@ licher	happ@@ ier
w@@ ände	walls
hilfe	aid
vorteil	advantage
meinung	opini@@ on
zerstör@@ ung	destruction
liebte	loved
arab@@ ischen	arab
führer	leaders
leistung	performance
gebäu@@ den	buildings
gewebe	tissue
er@@ wärmung	warming
gleich@@ ung	equ@@ ation
schiff	ship
klassen@@ zimmer	classroom
mil@@ ch	milk
techni@@ ken	techniques
bei@@ gebracht	taught
trinken	drink
einzelnen	individual
bezug	terms
unternehmen	businesses
schwimmen	swim
opfer	vic@@ ti@@ ms
ner@@ vö@@ s	nervous
nachhal@@ tigkeit	sustain@@ ability
transpar@@ enz	transpar@@ ency
brust@@ krebs	breast
ab@@ en@@ dessen	dinner
satz	sentence
vertraut	familiar
afrikan@@ er	afri@@ cans
gel@@ b	yellow
priv@@ aten	private
ko@@ hle	coal
haufen	bunch
richtungen	direc@@ tions
definieren	define
verbreiten	spread
belo@@ hnung	reward
vorstellung	notion
faszinier@@ end	fascinating
sinne	senses
vor@@ teile	benefits
küste	coast
sch@@ am	sh@@ ame
hit@@ ze	heat
besuchen	visit
aufgaben	tas@@ ks
identi@@ fizieren	identify
zweck	purpose
schul@@ ter	shoul@@ der
häuser	houses
terror@@ ismus	terror@@ ism
schaden	damage
abend	ton@@ ight
the@@ orien	theor@@ ies
grundlegende	basic
chirur@@ g	surge@@ on
wurz@@ eln	roots
stand	stood
verbrechen	crime
ehe@@ mann	husband
beschrei@@ bt	descri@@ bes
erinn@@ erungen	memor@@ ies
technik	techni@@ que
schlimm@@ sten	worst
sektor	sector
grenzen	boundar@@ ies
mitta@@ gessen	lunch
holz	wood
dunkel@@ heit	dar@@ k@@ ness
interessan@@ ter@@ weise	interest@@ ingly
selts@@ ame	strange
mus@@ keln	mus@@ cles
lich@@ ter	lights
organis@@ mus	organis@@ m
maßstab	scale
fla@@ sche	bottle
pflan@@ ze	plant
titel	ti@@ tle
erwähnt	mentioned
bemerkens@@ werte	remarkable
universi@@ täten	universi@@ ties
berü@@ hren	touch
interak@@ tion	interaction
schwan@@ z	tail
kapit@@ alismus	capit@@ alism
effizi@@ enz	efficiency
lebenser@@ war@@ tung	expec@@ tan@@ cy
außergewöhn@@ liche	extraordinary
begriff	term
spiegel	mirror
febru@@ ar	febru@@ ary
erd@@ be@@ ben	earth@@ qua@@ ke
schutz	protection
entdeck@@ ungen	disco@@ ver@@ ies
zusä@@ tzlich	addition
weltweit	worldwide
de@@ z@@ ember	dec@@ ember
viertel	quar@@ ter
effektiv	effective
ver@@ glichen	compared
mikrosk@@ op	microscop@@ e
tür@@ ke@@ i	tur@@ key
schwierigkeiten	trouble
wa@@ hlen	elec@@ tions
ändern	changing
erwar@@ tungen	expec@@ tations
stärker	stron@@ ger
o@@ hr	ear
analyse	analysis
tasche	po@@ cket
letzte	final
bürger@@ meister	ma@@ yo@@ r
mar@@ ke	brand
e@@ he	marriage
erschaffen	creating
wohl@@ stand	wealth
selten	r@@ ar@@ ely
lachen	lau@@ gh
buchstab@@ en	letters
faszin@@ iert	fascin@@ ated
bri@@ tischen	british
konzep@@ te	concep@@ ts
beteili@@ gt	involved
pazi@@ fi@@ k	pacific
offen@@ heit	open@@ ness
arbeiter	workers
völlig	totally
künst@@ liche	artificial
überrasch@@ end	surprising
ereig@@ nisse	events
verletz@@ lichkeit	vulner@@ ability
verschwinden	disappe@@ ar
stif@@ tung	foundation
bedeu@@ tete	meant
ernä@@ hren	feed
zerstören	destro@@ y
religiö@@ sen	religious
unterhaltung	entertain@@ ment
physiker	physi@@ c@@ ist
berü@@ hmt	famous
effe@@ kte	effects
produk@@ tivität	produ@@ c@@ tivity
nennt	calls
groß@@ vater	grand@@ father
kontakt	contact
tief@@ er	deeper
glaub@@ te	believed
anwen@@ dungen	appli@@ cations
in@@ fiziert	infe@@ cted
genie@@ ßen	enjoy
zunehmen@@ d	increasingly
tö@@ chter	dau@@ gh@@ ters
besondere	special
zuhören	listen
führung	leadership
emis@@ sionen	emissions
verteilung	distribution
skulp@@ tur	sculp@@ ture
europä@@ ischen	european
aktivitäten	activi@@ ties
strahlung	radiation
chirur@@ gen	surge@@ ons
bi@@ ologen	bi@@ ologists
lieder	songs
erwartet	expected
proz@@ esse	processes
geome@@ trie	geome@@ try
brü@@ der	brothers
sprach	spoke
optimi@@ stisch	optimi@@ stic
wahrscheinlichkeit	prob@@ ability
stücke	pieces
innova@@ tionen	innova@@ tions
ausstellung	exhi@@ bi@@ tion
wol@@ ke	cloud
ernährung	diet
wächst	growing
zerstört	destro@@ yed
fett@@ lei@@ bi@@ gkeit	o@@ bes@@ ity
anwenden	apply
stärke	strength
langwei@@ lig	bor@@ ing
proben	sam@@ ples
nach@@ mit@@ tag	after@@ noon
sele@@ ktion	sele@@ ction
atom@@ energie	nuclear
zeichen	sign
gemü@@ se	vege@@ tables
sch@@ western	si@@ sters
inseln	is@@ lands
scho@@ kol@@ ade	cho@@ col@@ ate
verlangen	desire
flug@@ ha@@ fen	air@@ port
ge@@ däch@@ tnis	memory
irgendwann	eventually
ver@@ sprechen	promise
fahr@@ zeuge	vehi@@ cles
ä@@ thi@@ op@@ ien	ethi@@ op@@ ia
frü@@ hl@@ ing	spring
bio@@ sphäre	bio@@ sphere
köni@@ g@@ in	queen
zug	train
aus@@ rü@@ stung	equipment
fällt	falls
künstler@@ in	artist
neugi@@ er@@ ig	curious
fertig	finished
laden	store
werbung	adverti@@ sing
klini@@ k	clin@@ ic
wohl@@ befinden	well-@@ being
vorberei@@ tet	prepared
bestimmen	deter@@ mine
ak@@ tion	action
nach@@ frage	demand
stabili@@ tät	st@@ ability
kinder@@ sterb@@ lichkeit	mortality
schwier@@ iger	harder
versuch	attemp@@ t
verg@@ nü@@ gen	pleasure
dienst@@ leistungen	services
autor@@ ität	auth@@ ority
teilt	shares
saß	sat
versuche	trials
schei@@ tern	fail
pre@@ mier@@ minister	minister
erfinden	inv@@ ent
beschäftigt	bus@@ y
gemäl@@ de	painting
liegt	lies
po@@ cken	small@@ po@@ x
schwer@@ kraft	gravity
elektr@@ oni@@ k	electr@@ on@@ ics
ursprün@@ glich	origin@@ ally
ziehen	pull
persön@@ lichkeit	person@@ ality
wasser@@ stoff	hydro@@ gen
kla@@ vier	piano
beobachten	watch
maga@@ zin	magazine
tradi@@ tionen	tradi@@ tions
blä@@ tter	leaves
blu@@ me	flo@@ wer
vor@@ sichti@@ g	care@@ ful
gleichzeitig	simul@@ tane@@ ously
methoden	metho@@ ds
radik@@ ale	radical
lehr@@ erin	teacher
kranken@@ häuser	hospitals
spielt	plays
demokra@@ tische	democratic
impf@@ stoff	v@@ acc@@ ine
klin@@ ischen	clinical
pl@@ äne	plans
um@@ geben	surro@@ unded
ober@@ flächen	sur@@ faces
wör@@ ter@@ buch	dic@@ tion@@ ary
weib@@ liche	female
erlebt	experienced
schreib@@ tisch	des@@ k
letztendlich	ultimately
beri@@ cht	report
sozusagen	sort
algorith@@ mus	algorith@@ m
elektr@@ ische	electrical
schlag@@ zei@@ len	head@@ lines
erfin@@ der	inv@@ ent@@ or
schla@@ cht	battle
funk@@ tionen	fun@@ ctions
elektron@@ ische	electr@@ onic
sp@@ ani@@ en	spa@@ in
werfen	throw
unabhängi@@ ge	independent
zivili@@ sa@@ tionen	civili@@ zations
neugi@@ er	curi@@ osity
sti@@ ft	pen
an@@ wäl@@ te	law@@ yers
groß@@ eltern	grand@@ parents
ver@@ heirat@@ et	married
kal@@ orien	cal@@ ories
imm@@ uns@@ y@@ stem	imm@@ une
geschlossen	closed
verschmu@@ tzung	pollution
re@@ präsentieren	represent
samm@@ lung	colle@@ ction
zog	moved
kü@@ he	co@@ ws
lang@@ samer	slow
mathemati@@ ker	mathemati@@ cians
heben	raise
schafft	creates
geru@@ ch	smell
dichte	den@@ sity
so@@ w@@ je@@ t@@ union	so@@ vi@@ et
analog@@ ie	analog@@ y
aus@@ nahme	ex@@ ception
unfall	crash
techn@@ ischen	technical
le@@ ktionen	lessons
ursprün@@ gliche	original
6@@ 0ern	6@@ 0s
musi@@ ker	musi@@ cians
vorhersagen	predict
islam@@ ischen	islam@@ ic
um@@ ständen	circum@@ stances
abhängig	depen@@ ding
mathemati@@ schen	mathematical
schla@@ u	smart
billi@@ ger	che@@ aper
zeit@@ ungen	new@@ spa@@ pers
springen	jump
klei@@ dung	clo@@ th@@ es
un@@ gleichheit	ine@@ quality
rätsel	puzz@@ les
beeinflussen	affect
umgehen	deal
defin@@ iert	defined
sei@@ de	silk
gene@@ tisch	gene@@ tically
studi@@ ert	studied
geschle@@ cht	gender
entfern@@ ung	distance
fahr@@ zeug	vehicle
elektro@@ den	electro@@ des
erreicht	reach@@ ed
beob@@ a@@ chtung	obser@@ vation
mär@@ z	mar@@ ch
erlaub@@ nis	per@@ mission
kohlen@@ di@@ ox@@ id	dio@@ xide
de@@ cke	cei@@ ling
zwei@@ fel	dou@@ bt
diagramm	graph
erwä@@ hnen	mention
ver@@ dopp@@ eln	double
sau@@ b@@ ere	clean
durch@@ messer	diam@@ e@@ ter
öko@@ systeme	eco@@ systems
wü@@ tend	an@@ gry
aspe@@ kte	aspe@@ cts
eindruck	impres@@ sion
z@@ elt	tent
dru@@ cken	print
beschrei@@ bung	descri@@ ption
gleich@@ ungen	equ@@ ations
zehn@@ tausende	tens
begren@@ zt	limited
haus@@ aufgaben	home@@ work
schwei@@ zer	s@@ wis@@ s
erhö@@ hen	increase
zei@@ traum	period
schw@@ eine	pig@@ s
d@@ ör@@ fern	villa@@ ges
elektr@@ onen	electr@@ ons
skla@@ ver@@ ei	sla@@ very
lü@@ gen	lie
schä@@ del	sk@@ ul@@ l
rei@@ cher	ri@@ cher
schwan@@ ger	preg@@ nant
r@@ auch	smo@@ ke
musli@@ mischen	musli@@ m
umgeb@@ ungen	environments
selbstverständlich	gran@@ ted
rhyth@@ mus	rhyth@@ m
städ@@ tischen	urban
7@@ 0ern	7@@ 0s
zentr@@ alen	central
gefü@@ llt	filled
ausge@@ bildet	trained
einge@@ führt	introduced
verste@@ cken	hi@@ de
ge@@ messen	measu@@ red
beeinflusst	influ@@ enced
fas@@ ern	fi@@ bers
ab@@ ent@@ euer	ad@@ vent@@ ure
spieler	player
kri@@ tische	critical
prei@@ se	pri@@ ces
auf@@ lösung	resol@@ ution
verkehr	traffic
ka@@ pa@@ zität	capacity
beweis	pro@@ of
über@@ setzt	transl@@ ated
psych@@ ologen	psych@@ ologists
protot@@ y@@ p	prototyp@@ e
jahrhunder@@ te	cent@@ u@@ ries
glücklicherweise	fortunately
re@@ z@@ ession	rec@@ ession
mei@@ le	mile
diszi@@ pli@@ n	discipl@@ ine
ungewöhn@@ lich	unusual
mechan@@ ismus	mechan@@ ism
schu@@ ld	bl@@ ame
an@@ nahmen	assu@@ mp@@ tions
vorstellen	introdu@@ ce
kombin@@ ieren	com@@ bine
un@@ sicherheit	un@@ certain@@ ty
elektr@@ ischen	electric
vergleich	compar@@ ison
berech@@ nen	calcu@@ late
täusch@@ ung	de@@ ception
geschü@@ tzt	prote@@ cted
verdienen	ear@@ n
verbesser@@ ung	impro@@ vement
diagno@@ sti@@ ziert	diagno@@ sed
intellektu@@ ellen	intellectual
liebt	lo@@ ves
schreck@@ liche	terrible
vor@@ schlag	pro@@ pos@@ al
wohn@@ ung	a@@ partment
fahr@@ rad	bi@@ cycle
wissen@@ s	knowledge
auswirkungen	impli@@ cations
erklär@@ te	expla@@ ined
schaf@@ e	she@@ ep
konzentri@@ ert	focused
ök@@ ologie	ec@@ ology
prototyp@@ en	prototyp@@ es
teil@@ weise	par@@ tly
konfli@@ kte	confli@@ cts
franzö@@ sische	french
an@@ wal@@ t	law@@ yer
währ@@ ung	cur@@ ren@@ cy
anwendung	app@@ lic@@ ation
zeichnungen	dra@@ wings
mus@@ kel	muscle
fla@@ ch	flat
unterrichten	teaching
glam@@ our@@ ö@@ s	glam@@ or@@ ous
männ@@ chen	males
japan@@ ischen	japanese
freundin	gir@@ l@@ friend
stehe	standing
belie@@ bt	popular
reak@@ tionen	re@@ actions
schi@@ chten	la@@ yers
schmer@@ z@@ haft	pain@@ ful
läch@@ er@@ lich	ridi@@ cul@@ ous
wert@@ voll	valuable
land@@ schaften	landscap@@ es
kol@@ on@@ ien	col@@ on@@ ies
du@@ mm	stupid
alten	ancient
besor@@ gt	worried
sozi@@ al	so@@ cially
bürger@@ krieg	civil
dra@@ matisch	dra@@ matically
über@@ winden	over@@ come
pan@@ dem@@ ie	pan@@ de@@ mic
9@@ 0ern	9@@ 0s
wa@@ ffe	gun
neuro@@ wissenschaft	neuro@@ science
krei@@ se	cir@@ cles
flüs@@ sigkeit	liquid
treib@@ stoff	fuel
körper@@ n	bodies
lö@@ wen	li@@ ons
tiefe	dep@@ th
noten	notes
krä@@ hen	cro@@ ws
fres@@ sen	eat
kat@@ eg@@ orien	categ@@ ories
mü@@ de	ti@@ red
demo@@ kr@@ aten	demo@@ cr@@ ats
glaubt	belie@@ ves
treib@@ haus@@ g@@ ase	green@@ house
unabhängi@@ gkeit	indepen@@ dence
ebenen	levels
über@@ gang	transition
br@@ ücken	bri@@ d@@ ges
dynam@@ ik	dynamic
organisi@@ ert	organized
ben@@ an@@ nt	named
fangen	catch
heutzutage	no@@ wa@@ days
stir@@ bt	dies
syste@@ matisch	syste@@ matically
roman@@ tische	roman@@ tic
berührt	tou@@ ched
annahme	assu@@ mption
lernt	learning
ver@@ gewal@@ tigt	ra@@ ped
setzen	sit
un@@ fälle	acci@@ dents
mö@@ bel	fur@@ ni@@ ture
finanzi@@ ellen	financial
nähr@@ stoffe	nutri@@ ents
dire@@ ktor	director
fähig	capable
schul@@ dig	gu@@ il@@ ty
typ@@ ischen	typical
aus@@ gaben	spending
proz@@ ent@@ satz	percentage
wahr@@ heiten	tru@@ ths
frei@@ tag	fri@@ day
ver@@ sionen	ver@@ sions
riesigen	giant
kamen	coming
tan@@ zen	dan@@ cing
chri@@ sten	chri@@ sti@@ ans
hallu@@ zin@@ ationen	hallu@@ cin@@ ations
an@@ wei@@ sungen	in@@ struc@@ tions
bleibt	rema@@ ins
schlagen	beat
tenden@@ z	tenden@@ cy
super@@ markt	super@@ market
rennen	race
versagen	failure
durch@@ fall	di@@ arr@@ he@@ a
ange@@ stellten	employees
tro@@ pfen	drop
zusätz@@ liche	extra
organ@@ ische	organic
ge@@ trennt	separ@@ ated
sätze	sent@@ ences
bom@@ ben	bom@@ bs
kün@@ ste	arts
hü@@ hn@@ chen	chicken
gleichheit	equ@@ ality
redu@@ ziert	re@@ duced
schau@@ spieler	actor
schwei@@ z	swi@@ tz@@ er@@ land
fahrer	driver
schein@@ bar	seem@@ ingly
er@@ setzt	re@@ placed
fiel	fell
republi@@ kan@@ er	republi@@ cans
zu@@ stimmen	agree
klas@@ sische	classi@@ c
gesprä@@ che	conver@@ sa@@ tions
neu@@ se@@ eland	ze@@ al@@ and
verteilt	distribu@@ ted
ste@@ hlen	ste@@ al
gebro@@ chen	broken
verbindet	conne@@ cts
philosop@@ h	philosop@@ her
musi@@ kal@@ ische	musical
phy@@ s@@ isch	physi@@ cally
hinder@@ nisse	ob@@ stac@@ les
ein@@ heiten	un@@ its
frem@@ de	stran@@ gers
h@@ ung@@ ri@@ g	hun@@ gry
re@@ präsentiert	represents
einheit	unit
politi@@ sch	poli@@ tically
zu@@ geben	ad@@ mit
na@@ deln	need@@ les
langfri@@ stige	long-term
fru@@ stri@@ ert	fru@@ strated
anzu@@ g	suit
pri@@ ma@@ ten	pri@@ mates
gegründet	fo@@ unded
ver@@ doppelt	dou@@ bled
flü@@ gel	wings
bo@@ s@@ nien	bo@@ s@@ nia
fotografi@@ ert	photograph@@ ed
dire@@ kte	direct
ein@@ stellung	at@@ titude
par@@ tei@@ en	par@@ ties
kranken@@ sch@@ western	nur@@ ses
gewöhn@@ liche	ordinary
kor@@ alle	coral
wissenschaft@@ lich	scienti@@ fically
kolle@@ ktiven	collective
lo@@ hnt	worth
klini@@ ken	clin@@ ics
ju@@ gend	you@@ th
brach	broke
ta@@ schen	po@@ ckets
privat@@ sphäre	priv@@ acy
früh@@ stück	break@@ fast
müll	g@@ arb@@ age
mobili@@ tät	mo@@ bility
drei@@ dimension@@ alen	three-@@ dimensional
sal@@ z	s@@ alt
psych@@ ologische	psych@@ ological
architek@@ ton@@ ische	architec@@ tural
an@@ atom@@ ie	an@@ atom@@ y
ri@@ chter	ju@@ dge
einge@@ bet@@ tet	em@@ bed@@ ded
erkenntnis	insi@@ ght
stam@@ m	tri@@ be
prakti@@ sche	practical
kö@@ pfe	heads
drittel	two-@@ thir@@ ds
offen@@ sicht@@ liche	obvious
hei@@ len	cure
aktu@@ ellen	current
wo@@ chen@@ ende	wee@@ k@@ end
kam@@ bo@@ d@@ sch@@ a	cam@@ bo@@ dia
fo@@ li@@ en	sli@@ des
eigent@@ um	property
steuern	ta@@ xes
vertei@@ digung	defen@@ se
passt	f@@ its
wei@@ zen	whe@@ at
kranken@@ schwester	nur@@ se
männ@@ liche	male
hö@@ hle	ca@@ ve
verfolgen	track
tötet	kill@@ s
erfin@@ dungen	inven@@ tions
deut@@ sche	ger@@ man
erzähl@@ ung	narra@@ tive
erzähl@@ ungen	narra@@ tives
freiwilli@@ gen	volunte@@ ers
blieb	sta@@ yed
führ@@ enden	leading
gele@@ gen@@ heiten	opportunities
sicher@@ er	sa@@ fer
investi@@ ert	invest@@ ed
verhaltens@@ weisen	behaviors
flug@@ zeuge	air@@ planes
mein@@ ungen	opini@@ ons
ban@@ ken	ban@@ ks
glü@@ h@@ bir@@ ne	bul@@ b
flüs@@ se	ri@@ vers
auszu@@ drücken	express
pri@@ or@@ itäten	pri@@ ori@@ ties
glaube	belief
baum@@ wol@@ le	c@@ ot@@ ton
span@@ nung	ten@@ sion
veröffent@@ lichen	publi@@ sh
getroffen	hit
hö@@ hlen	ca@@ ves
evolution@@ ären	evolutionary
über@@ setzung	trans@@ lation
weib@@ chen	fe@@ males
schü@@ tt@@ eln	sha@@ ke
ver@@ liert	lo@@ ses
kat@@ eg@@ or@@ ie	categ@@ ory
ver@@ mäch@@ tnis	leg@@ acy
weih@@ na@@ chten	christ@@ mas
